conid,ticker,candidate_date,close_asof,sharesbas,sharefactor,sf1_datekey,staleness_days,computed_market_cap,vendor_marketcap_anchor,relative_diff_pct,boundary_distance_pct,market_cap_bucket,market_cap_reason_code
8677881,ON,2026-04-23,97.78,394020530.0,1.0,2026-02-09,73.0,38527327423.4,25650736503.0,50.2,22.95,UNBUCKETED,MARKET_CAP_SUSPECT
32106121,MPWR,2026-04-23,1592.17,49118000.0,1.0,2026-02-27,55.0,78204206060.0,56129103320.0,39.33,56.41,UNBUCKETED,MARKET_CAP_SUSPECT
481863646,APP,2026-04-23,454.17,307100208.0,1.0,2026-02-19,63.0,139475701467.36002,126525285696.0,10.24,30.26,Large-high,MARKET_CAP_OK
4391,AMD,2026-04-24,347.81,1630410843.0,1.0,2026-02-04,79.0,567073195303.83,326391946660.0,73.74,183.54,UNBUCKETED,MARKET_CAP_SUSPECT
13096,TXN,2026-04-24,277.14,910092791.0,1.0,2026-04-24,0.0,252223116097.74,252223116098.0,0.0,26.11,Mega,MARKET_CAP_OK
270639,INTC,2026-04-24,82.54,5026000000.0,1.0,2026-04-24,0.0,414846040000.00006,414846040000.0,0.0,107.42,Mega,MARKET_CAP_OK
271568,MCHP,2026-04-24,89.44,541135458.0,1.0,2026-02-05,78.0,48399155363.52,42230211142.0,14.61,3.2,Large-low,MARKET_CAP_OK
8677881,ON,2026-04-24,98.4,394020530.0,1.0,2026-02-09,74.0,38771620152.0,25650736503.0,51.15,22.46,UNBUCKETED,MARKET_CAP_SUSPECT
4391,AMD,2026-04-27,334.63,1630410843.0,1.0,2026-02-04,82.0,545584380393.08997,326391946660.0,67.16,172.79,UNBUCKETED,MARKET_CAP_SUSPECT
9939,MU,2026-04-27,524.56,1127734051.0,1.0,2026-03-19,39.0,591564173792.5599,501018406838.0,18.07,195.78,Mega,MARKET_CAP_OK
13096,TXN,2026-04-27,269.5,910092791.0,1.0,2026-04-24,3.0,245270007174.5,252223116098.0,2.76,22.64,Mega,MARKET_CAP_OK
270639,INTC,2026-04-27,84.99,5026000000.0,1.0,2026-04-24,3.0,427159740000.0,414846040000.0,2.97,113.58,Mega,MARKET_CAP_OK
271568,MCHP,2026-04-27,86.84,541135458.0,1.0,2026-02-05,81.0,46992203172.72,42230211142.0,11.28,6.02,Large-low,MARKET_CAP_OK
8677881,ON,2026-04-27,98.04,394020530.0,1.0,2026-02-09,77.0,38629772761.200005,25650736503.0,50.6,22.74,UNBUCKETED,MARKET_CAP_SUSPECT
