conid,ticker,candidate_date,close_candidate,close_datekey,sharesbas,sharefactor,sf1_datekey,staleness_days,computed_market_cap,vendor_marketcap,relative_diff_pct,ratio_candidate,ratio_sharefactor_mult,ratio_sharefactor_div,price_ratio,anchor_adjusted_ratio,cap01_reason
70236214,FTNT,2026-05-12,113.87,114.07,732648391.0,1.0,2026-05-08,4,83426672283.17,83573201961.0,0.18,0.9982466906329809,0.9982466906329809,0.9982466906329809,0.9982466906285615,1.0000000000044271,OK
491932113,STX,2026-05-12,808.79,643.3,224228992.0,1.0,2026-04-29,13,181354166439.68,144246510554.0,25.73,1.2572516710675534,1.2572516710675534,1.2572516710675534,1.25725167107104,0.9999999999972269,SUSPECT
4391,AMD,2026-05-13,445.5,421.39,1630600639.0,1.0,2026-05-06,7,726432584674.5,687118803268.0,5.72,1.0572154061561407,1.0572154061561407,1.0572154061561407,1.0572154061558177,1.0000000000003055,OK
9939,MU,2026-05-13,803.63,444.27,1127734051.0,1.0,2026-03-19,55,906280915405.13,501018406838.0,80.89,1.8088774844118016,1.8088774844118016,1.8088774844118016,1.808877484412632,0.9999999999995409,SUSPECT
273544,QCOM,2026-05-13,213.17,156.0,1054000000.0,1.0,2026-04-29,14,224681180000.0,164424000000.0,36.65,1.3664743589743589,1.3664743589743589,1.3664743589743589,1.3664743589743589,1.0,SUSPECT
1035459,DVA,2026-05-13,198.1,157.04,64200000.0,1.0,2026-05-05,8,12718020000.0,10081968000.0,26.15,1.261462047885889,1.261462047885889,1.261462047885889,1.261462047885889,1.0,SUSPECT
70236214,FTNT,2026-05-13,117.69,114.07,732648391.0,1.0,2026-05-08,5,86225389136.79,83573201961.0,3.17,1.0317348996276061,1.0317348996276061,1.0317348996276061,1.0317348996230384,1.0000000000044271,OK
491932113,STX,2026-05-13,817.35,643.3,224228992.0,1.0,2026-04-29,14,183273566611.2,144246510554.0,27.06,1.2705580599995858,1.2705580599995858,1.2705580599995858,1.270558060003109,0.9999999999972271,SUSPECT
4391,AMD,2026-05-14,449.7,421.39,1630600639.0,1.0,2026-05-06,8,733281107358.2999,687118803268.0,6.72,1.0671824200862323,1.0671824200862323,1.0671824200862323,1.0671824200859061,1.0000000000003058,OK
9939,MU,2026-05-14,776.01,444.27,1127734051.0,1.0,2026-03-19,56,875132900916.51,501018406838.0,74.67,1.7467080829217452,1.7467080829217452,1.7467080829217452,1.7467080829225472,0.9999999999995408,SUSPECT
70236214,FTNT,2026-05-14,121.86,114.07,732648391.0,1.0,2026-05-08,6,89280532927.26,83573201961.0,6.83,1.0682914000222625,1.0682914000222625,1.0682914000222625,1.0682914000175332,1.000000000004427,OK
370757467,CRWD,2026-05-14,579.95,426.16,1014456360.0,1.0,2026-03-05,70,588333965982.0,108080180594.0,444.35,5.443495400808582,5.443495400808582,5.443495400808582,1.3608738501971092,4.000000000014803,SUSPECT
9939,MU,2026-05-15,724.66,444.27,1127734051.0,1.0,2026-03-19,57,817223757397.6599,501018406838.0,63.11,1.6311252166467851,1.6311252166467851,1.6311252166467851,1.631125216647534,0.9999999999995408,SUSPECT
