conid,candidate_date,sf1_datekey,staleness_days,staleness_flag,identity_tier,is_alias,coverage_status,reason_code,revenue,netinc,eps,fcf,roe,grossmargin,netmargin,debt,de,assets,equity,ticker,mle_rank,irc_rank,source_signal_label
463654490,2026-02-24,2026-02-18,6,,MATCHED_STRONG,False,OK,,798190000.0,481376000.0,6.98,-3816000.0,0.362,0.85,0.603,16175000.0,0.113,1623278000.0,1458907000.0,TPL,1,6,MLE_TOP10xIRC_TOP10_20d
7655,2026-02-25,2026-02-12,13,,MATCHED_STRONG,False,OK,,15629000000.0,1596000000.0,1.87,1424000000.0,0.141,0.36,0.102,8434000000.0,1.581,30976000000.0,11807000000.0,GLW,6,2,MLE_TOP10xIRC_TOP10_20d
72529783,2026-02-25,2026-02-18,7,,MATCHED_STRONG,False,OK,,4209147000.0,159554000.0,2.73,271206000.0,0.062,0.383,0.038,1498263000.0,1.115,5573679000.0,2632422000.0,GNRC,2,8,MLE_TOP10xIRC_TOP10_20d
76791198,2026-02-25,2026-02-18,7,,MATCHED_NAME_VERIFIED,False,OK,,7245519000.0,1663887000.0,8.65,1362913000.0,0.197,0.587,0.23,164835000.0,0.225,10993669000.0,8972564000.0,GRMN,8,10,MLE_TOP10xIRC_TOP10_20d
170167160,2026-02-25,2025-12-17,70,,MATCHED_STRONG,False,OK,,5375000000.0,850000000.0,4.93,1281000000.0,0.153,0.621,0.158,2778000000.0,0.922,11301000000.0,5881000000.0,KEYS,4,10,MLE_TOP10xIRC_TOP10_20d
402783527,2026-02-25,2026-02-13,12,,MATCHED_STRONG,False,OK,,10229900000.0,1332800000.0,3.49,1887400000.0,0.403,0.363,0.13,3158200000.0,2.099,12212400000.0,3941300000.0,VRT,1,1,MLE_TOP10xIRC_TOP10_20d
463654490,2026-02-25,2026-02-18,7,,MATCHED_STRONG,False,OK,,798190000.0,481376000.0,6.98,-3816000.0,0.362,0.85,0.603,16175000.0,0.113,1623278000.0,1458907000.0,TPL,5,9,MLE_TOP10xIRC_TOP10_20d
272104927,2026-02-26,2026-02-25,1,,MATCHED_STRONG,False,OK,,2779536000.0,124656000.0,1.6,75081000.0,0.043,0.597,0.045,1909664000.0,1.159,7000313000.0,3242658000.0,AXON,3,9,MLE_TOP10xIRC_TOP10_20d
463654490,2026-02-27,2026-02-18,9,,MATCHED_STRONG,False,OK,,798190000.0,481376000.0,6.98,-3816000.0,0.362,0.85,0.603,16175000.0,0.113,1623278000.0,1458907000.0,TPL,5,8,MLE_TOP10xIRC_TOP10_20d
272104927,2026-03-02,2026-02-25,5,,MATCHED_STRONG,False,OK,,2779536000.0,124656000.0,1.6,75081000.0,0.043,0.597,0.045,1909664000.0,1.159,7000313000.0,3242658000.0,AXON,4,5,MLE_TOP10xIRC_TOP10_20d
463654490,2026-03-02,2026-02-18,12,,MATCHED_STRONG,False,OK,,798190000.0,481376000.0,6.98,-3816000.0,0.362,0.85,0.603,16175000.0,0.113,1623278000.0,1458907000.0,TPL,10,3,MLE_TOP10xIRC_TOP10_20d
272104927,2026-03-03,2026-02-25,6,,MATCHED_STRONG,False,OK,,2779536000.0,124656000.0,1.6,75081000.0,0.043,0.597,0.045,1909664000.0,1.159,7000313000.0,3242658000.0,AXON,1,7,MLE_TOP10xIRC_TOP10_20d
463654490,2026-03-03,2026-02-18,13,,MATCHED_STRONG,False,OK,,798190000.0,481376000.0,6.98,-3816000.0,0.362,0.85,0.603,16175000.0,0.113,1623278000.0,1458907000.0,TPL,8,1,MLE_TOP10xIRC_TOP10_20d
212671971,2026-03-04,2026-02-26,6,,MATCHED_STRONG,False,OK,,24193683000.0,1305636000.0,2.13,2424676000.0,0.059,0.428,0.054,8911027000.0,0.783,39549887000.0,22204278000.0,XYZ,9,1,MLE_TOP10xIRC_TOP10_20d
463654490,2026-03-04,2026-02-18,14,,MATCHED_STRONG,False,OK,,798190000.0,481376000.0,6.98,-3816000.0,0.362,0.85,0.603,16175000.0,0.113,1623278000.0,1458907000.0,TPL,10,3,MLE_TOP10xIRC_TOP10_20d
