date,ticker,breach_day,worst_rank_after,post_missing_rank,bucket,reentry_50,days_to_reentry_50,reentry_25,days_to_reentry_25,reentry_10,days_to_reentry_10,post_breach_ret,post_reentry50_ret
2025-09-25,AAPL,3,332.0,False,D_gt250,True,2.0,False,,False,,0.019439971723677507,0.009528254190487306
2025-09-25,AMAT,8,142.0,False,B_101-150,True,2.0,False,,False,,0.07993004348648136,0.03708579210167939
2025-09-25,APP,6,497.0,False,D_gt250,False,,False,,False,,-0.1362997246470209,
2025-09-25,INTC,11,287.0,False,D_gt250,True,1.0,False,,False,,0.04921638713225174,0.02525523911875327
2025-09-25,STX,7,497.0,False,D_gt250,False,,False,,False,,-0.06761932215953559,
2025-09-25,TER,8,450.0,False,D_gt250,True,1.0,False,,False,,0.034965034965035,0.003042876901798053
2025-09-25,TSLA,3,438.0,False,D_gt250,False,,False,,False,,0.009579060982191079,
2025-09-25,WDC,12,467.0,False,D_gt250,False,,False,,False,,0.05771495877502941,
2025-09-26,AMAT,7,142.0,False,B_101-150,True,2.0,False,,False,,0.0812535450935905,0.03835678620063554
2025-09-26,APP,5,497.0,False,D_gt250,False,,False,,False,,-0.09192102642216882,
2025-09-26,HAL,6,488.0,False,D_gt250,True,12.0,True,12.0,True,12.0,0.08990147783251246,0.009122006841505215
2025-09-26,IBM,6,426.0,False,D_gt250,True,1.0,False,,False,,0.06233155967106607,0.04624493823799636
2025-09-26,INTC,10,287.0,False,D_gt250,True,1.0,False,,False,,0.052515809733296726,0.028479312197743134
2025-09-26,TER,7,450.0,False,D_gt250,True,1.0,False,,False,,0.02954188668474389,-0.0022130013831258566
2025-09-26,VLO,2,480.0,False,D_gt250,True,17.0,False,,False,,0.0046399624104311865,-0.012014093455784525
2025-09-29,AMAT,6,142.0,False,B_101-150,True,2.0,False,,False,,0.09344866704481003,0.05006808896958703
2025-09-29,HAL,5,488.0,False,D_gt250,True,12.0,True,12.0,True,12.0,0.10016420361247946,0.01862409730140646
2025-09-29,INTC,9,287.0,False,D_gt250,True,1.0,False,,False,,0.08715974704426732,0.06233207952713604
2025-09-29,TER,6,450.0,False,D_gt250,True,1.0,False,,False,,0.052518909661766866,0.020055325034578297
2025-09-29,WDC,10,467.0,False,D_gt250,True,9.0,False,,False,,0.06570755510684845,-0.021324267944062503
2025-09-30,AMAT,5,142.0,False,B_101-150,True,2.0,False,,False,,0.07600680657969372,0.03331820245120287
2025-09-30,CNC,8,492.0,False,D_gt250,False,,False,,False,,-0.07186800894854584,
2025-09-30,ES,4,249.0,False,C_151-250,False,,False,,False,,0.029986244841815557,
2025-09-30,INTC,8,287.0,False,D_gt250,True,1.0,True,12.0,False,,0.14187517184492715,0.11579795808705007
2025-09-30,TER,5,450.0,False,D_gt250,True,1.0,False,,False,,0.030255458826887516,-0.0015214384508990264
2025-09-30,WDC,9,467.0,False,D_gt250,True,9.0,False,,False,,0.05098435133770818,-0.0348450900100441
2025-10-01,AMAT,4,142.0,False,B_101-150,True,2.0,False,,False,,0.11434108527131781,0.07013163867453476
2025-10-01,INTC,7,287.0,False,D_gt250,True,1.0,True,12.0,False,,0.1366510860599397,0.1106931757119829
2025-10-01,LRCX,4,367.0,False,D_gt250,True,1.0,True,13.0,False,,0.14478090488065543,0.1271923670548618
2025-10-01,SMCI,10,497.0,False,D_gt250,False,,False,,False,,-0.023173896922506487,
2025-10-01,STX,3,497.0,False,D_gt250,True,17.0,True,17.0,True,17.0,0.09385166577440995,0.0
2025-10-01,TER,4,450.0,False,D_gt250,True,1.0,True,16.0,True,16.0,0.2411873840445271,0.20290456431535264
